"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","(default)","src/AdminView.java","4","1","Avoid unused imports such as 'java.awt.BorderLayout'","Type Resolution Rules","UnusedImports"
"2","(default)","src/AdminView.java","4","1","Avoid unused imports such as 'java.awt.BorderLayout'","Type Resolution Rules","UnusedImports"
"3","(default)","src/AdminView.java","4","7","Avoid unused imports such as 'java.awt.GridLayout'","Type Resolution Rules","UnusedImports"
"4","(default)","src/AdminView.java","4","7","Avoid unused imports such as 'java.awt.GridLayout'","Type Resolution Rules","UnusedImports"
"5","(default)","src/AdminView.java","4","20","Avoid duplicate imports such as 'java.sql.Connection'","Import Statement Rules","DuplicateImports"
"6","(default)","src/AdminView.java","4","21","Avoid duplicate imports such as 'java.sql.ResultSet'","Import Statement Rules","DuplicateImports"
"7","(default)","src/AdminView.java","4","22","Avoid duplicate imports such as 'java.sql.SQLException'","Import Statement Rules","DuplicateImports"
"8","(default)","src/AdminView.java","4","23","Avoid duplicate imports such as 'javax.swing.DefaultListModel'","Import Statement Rules","DuplicateImports"
"9","(default)","src/AdminView.java","3","28","All classes and interfaces must belong to a named package","Naming Rules","NoPackage"
"10","(default)","src/AdminView.java","3","30","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"11","(default)","src/AdminView.java","3","30","Perhaps 'contentPane' could be replaced by a local variable.","Design Rules","SingularField"
"12","(default)","src/AdminView.java","3","30","Private field 'contentPane' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"13","(default)","src/AdminView.java","3","31","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"14","(default)","src/AdminView.java","3","31","Private field 'textField' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"15","(default)","src/AdminView.java","3","32","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"16","(default)","src/AdminView.java","3","32","Private field 'textField_1' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"17","(default)","src/AdminView.java","1","32","Variables that are not final should not contain underscores (except for underscores in standard prefix/suffix).","Naming Rules","VariableNamingConventions"
"18","(default)","src/AdminView.java","3","33","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"19","(default)","src/AdminView.java","3","33","Private field 'textField_2' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"20","(default)","src/AdminView.java","1","33","Variables that are not final should not contain underscores (except for underscores in standard prefix/suffix).","Naming Rules","VariableNamingConventions"
"21","(default)","src/AdminView.java","3","34","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"22","(default)","src/AdminView.java","3","34","Private field 'textField_3' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"23","(default)","src/AdminView.java","1","34","Variables that are not final should not contain underscores (except for underscores in standard prefix/suffix).","Naming Rules","VariableNamingConventions"
"24","(default)","src/AdminView.java","1","35","Variables that are not final should not contain underscores (except for underscores in standard prefix/suffix).","Naming Rules","VariableNamingConventions"
"25","(default)","src/AdminView.java","1","36","Variables that are not final should not contain underscores (except for underscores in standard prefix/suffix).","Naming Rules","VariableNamingConventions"
"26","(default)","src/AdminView.java","3","37","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"27","(default)","src/AdminView.java","3","38","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"28","(default)","src/AdminView.java","3","42","Parameter 'args' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"29","(default)","src/AdminView.java","3","43","To be compliant to J2EE, a webapp should not use any thread.","J2EE Rules","DoNotUseThreads"
"30","(default)","src/AdminView.java","3","46","Local variable 'frame' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"31","(default)","src/AdminView.java","3","49","Avoid printStackTrace(); use a logger call instead.","Java Logging Rules","AvoidPrintStackTrace"
"32","(default)","src/AdminView.java","3","58","It is a good practice to call super() in a constructor","Controversial Rules","CallSuperInConstructor"
"33","(default)","src/AdminView.java","3","68","Local variable 'label' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"34","(default)","src/AdminView.java","3","76","Local variable 'query' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"35","(default)","src/AdminView.java","3","77","Local variable 'con' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"36","(default)","src/AdminView.java","3","78","Always check the return of one of the navigation method (next,previous,first,last) of a ResultSet.","Basic Rules","CheckResultSet"
"37","(default)","src/AdminView.java","3","78","Avoid variables with short names like rs","Naming Rules","ShortVariable"
"38","(default)","src/AdminView.java","3","78","Local variable 'rs' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"39","(default)","src/AdminView.java","3","89","Avoid printStackTrace(); use a logger call instead.","Java Logging Rules","AvoidPrintStackTrace"
"40","(default)","src/AdminView.java","3","98","Parameter 'arg0' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"41","(default)","src/AdminView.java","3","99","Avoid variables with short names like i","Naming Rules","ShortVariable"
"42","(default)","src/AdminView.java","5","99","Found 'DD'-anomaly for variable 'i' (lines '99'-'100').","Controversial Rules","DataflowAnomalyAnalysis"
"43","(default)","src/AdminView.java","5","99","Found 'DD'-anomaly for variable 'i' (lines '99'-'100').","Controversial Rules","DataflowAnomalyAnalysis"
"44","(default)","src/AdminView.java","3","102","Ensure that resources like this Connection object are closed after use","Design Rules","CloseResource"
"45","(default)","src/AdminView.java","3","105","Avoid variables with short names like rs","Naming Rules","ShortVariable"
"46","(default)","src/AdminView.java","3","105","Ensure that resources like this ResultSet object are closed after use","Design Rules","CloseResource"
"47","(default)","src/AdminView.java","3","117","Avoid printStackTrace(); use a logger call instead.","Java Logging Rules","AvoidPrintStackTrace"
"48","(default)","src/AdminView.java","3","165","Avoid variables with short names like e","Naming Rules","ShortVariable"
"49","(default)","src/AdminView.java","3","165","Parameter 'e' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"50","(default)","src/AdminView.java","5","166","Found 'DD'-anomaly for variable 'query' (lines '166'-'168').","Controversial Rules","DataflowAnomalyAnalysis"
"51","(default)","src/AdminView.java","5","166","Found 'DD'-anomaly for variable 'query' (lines '166'-'168').","Controversial Rules","DataflowAnomalyAnalysis"
"52","(default)","src/AdminView.java","3","168","Prefer StringBuffer over += for concatenating strings","Optimization Rules","UseStringBufferForStringAppends"
"53","(default)","src/AdminView.java","3","170","Prefer StringBuffer over += for concatenating strings","Optimization Rules","UseStringBufferForStringAppends"
"54","(default)","src/AdminView.java","3","172","Prefer StringBuffer over += for concatenating strings","Optimization Rules","UseStringBufferForStringAppends"
"55","(default)","src/AdminView.java","3","174","Prefer StringBuffer over += for concatenating strings","Optimization Rules","UseStringBufferForStringAppends"
"56","(default)","src/AdminView.java","3","176","Prefer StringBuffer over += for concatenating strings","Optimization Rules","UseStringBufferForStringAppends"
"57","(default)","src/AdminView.java","3","179","Ensure that resources like this Connection object are closed after use","Design Rules","CloseResource"
"58","(default)","src/AdminView.java","3","182","Avoid variables with short names like rs","Naming Rules","ShortVariable"
"59","(default)","src/AdminView.java","3","182","Ensure that resources like this ResultSet object are closed after use","Design Rules","CloseResource"
